ANOENC;NUMERO;Seguro_salud;TAMAMU;NMIEMB;NMIEM2;NUMOCUP;TIPHOGAR3;EDADSP;SEXOSP;ESTUDREDSP;OCUSP;INTERINPSP;REGTEN;SUPERF;INTERIN
2018;793;0;3;01;00;00; 1;81; 6; 2; 2;02;1;045;02
2018;794;0;5;03;00;01;10;63; 1; 3; 2;03;1;160;05
2018;795;0;1;04;00;04;10;48; 6; 3; 1;02;3;050;09
2018;796;0;3;04;03;01; 9;40; 6; 4; 1;04;6;150;04
2018;797;0;1;01;00;00; 1;84; 6; 1; 2;02;1;073;02
2018;798;0;5;01;00;01; 2;54; 1; 4; 1;05;2;097;05
2018;799;0;2;04;01;02; 7;41; 1; 2; 1;03;2;080;05
2018;800;0;1;01;00;00; 2;47; 1; 3; 2;02;3;045;02
2018;801;0;2;04;00;03;10;58; 6; 4; 1;03;1;100;07
2018;802;0;1;02;00;00;10;85; 6; 1; 2;02;2;080;02
2018;803;0;3;03;01;02; 6;35; 6; 4; 1;03;3;090;05
2018;804;0;2;02;00;01;10;84; 6; 1; 2;03;1;150;08
2018;805;0;3;02;00;00; 4;66; 1; 2; 2;02;1;098;02
2018;806;0;1;03;01;01; 6;33; 1; 3; 1;02;2;065;04
2018;807;0;3;01;00;01; 2;37; 1; 2; 1;02;6;100;02
2018;808;0;5;03;00;01;10;55; 6; 2; 2;03;1;090;05
2018;809;0;5;01;00;01; 2;38; 1; 3; 1;04;6;060;04
2018;810;0;1;01;00;00; 2;56; 1; 3; 2;02;1;102;02
2018;811;0;1;02;00;00; 4;84; 1; 2; 2;03;1;140;05
2018;812;0;2;02;00;00; 5;64; 1; 3; 2;01;1;168;01
2018;813;0;1;01;00;00; 1;68; 6; 4; 2;01;1;117;01
2018;814;0;4;04;02;02; 7;45; 1; 2; 1;03;2;170;03
2018;815;1;1;05;01;01; 8;50; 1; 4; 1;06;1;270;06
2018;816;0;1;02;00;00; 4;85; 1; 4; 2;04;1;090;04
2018;817;0;1;03;01;01; 6;39; 1; 2; 1;02;3;065;02
2018;818;0;4;02;00;00; 4;78; 1; 1; 2;02;1;065;02
2018;819;0;1;03;00;00;10;55; 1; 2; 2;03;2;090;03
2018;820;0;5;05;02;01; 8;36; 1; 3; 1;03;2;180;03
2018;821;0;1;01;00;01; 2;57; 1; 4; 1;03;1;090;03
2018;822;0;5;02;00;00; 4;66; 6; 4; 2;04;1;100;07
2018;823;1;5;02;00;00; 4;67; 1; 3; 2;06;1;150;08
2018;824;0;1;02;00;00; 4;78; 1; 4; 2;05;1;110;05
2018;825;0;3;01;00;01; 2;46; 1; 4; 1;03;1;090;03
2018;826;0;1;02;00;02;10;61; 6; 3; 1;02;1;098;02
2018;827;0;1;04;02;02; 7;40; 1; 4; 1;05;2;075;07
2018;828;0;5;04;02;00; 7;37; 1; 2; 2;03;6;120;03
2018;829;0;1;03;00;00;10;64; 6; 4; 2;05;1;115;07
2018;830;0;2;03;00;02;10;58; 1; 2; 1;03;1;070;05
2018;831;0;5;01;00;00; 2;64; 1; 1; 2;01;2;200;01
2018;832;0;3;03;01;02; 6;40; 1; 1; 1;04;2;080;05
2018;833;0;3;01;00;00; 1;70; 6; 2; 2;02;1;300;02
2018;834;0;2;03;00;02;10;48; 6; 3; 1;01;3;065;02
2018;835;0;3;05;02;00;10;36; 1; 4; 2;  ;3;065;01
2018;836;0;1;04;00;01; 7;54; 6; 4; 1;07;1;160;08
2018;837;0;3;02;00;00; 4;81; 1; 1; 2;02;1;124;03
2018;838;0;5;03;00;01;10;50; 6; 4; 1;03;1;100;07
2018;839;0;4;02;00;02;10;50; 6; 3; 1;03;3;065;04
2018;840;0;1;01;00;00; 1;67; 6; 2; 2;02;1;062;02
2018;841;0;5;02;00;00; 4;82; 6; 1; 2;02;1;065;02
2018;842;0;3;01;00;00; 1;84; 6; 2; 2;02;5;080;02
2018;843;0;1;04;02;01; 7;37; 6; 4; 1;03;2;102;03
2018;844;0;4;03;00;01;10;49; 6; 2; 1;03;1;080;03
2018;845;1;1;02;00;01; 5;37; 6; 4; 1;04;2;057;06
2018;846;0;2;03;00;01; 6;51; 1; 4; 1;02;3;080;03
2018;847;0;5;01;00;00; 1;70; 1; 1; 2;01;1;135;01
2018;848;0;4;03;00;02;10;52; 6; 1; 1;03;1;082;07
2018;849;0;2;01;00;00; 1;70; 6; 3; 2;02;1;150;02
2018;850;0;1;02;00;00; 4;79; 1; 2; 2;02;1;056;02
2018;851;0;5;02;00;00; 4;67; 1; 1; 2;02;2; -9;02
2018;852;0;1;02;00;00;10;75; 6; 2; 2;03;3;090;03
2018;853;0;1;02;00;02; 5;39; 6; 3; 1;04;2;040;07
2018;854;0;1;01;00;00; 1;65; 6; 1; 2;02;1;048;02
2018;855;0;1;02;00;01; 5;35; 1; 2; 1;02;3;060;02
2018;856;0;1;05;00;02;10;59; 1; 3; 1;05;1;075;07
2018;857;0;5;04;00;02; 7;42; 1; 3; 1;03;2;070;05
2018;858;0;4;03;00;00;10;57; 6; 1; 2;01;1;100;02
2018;859;0;2;02;00;01; 5;64; 1; 4; 1;03;1;068;03
2018;860;0;5;03;01;02; 6;46; 6; 2; 1;03;6;106;04
2018;861;1;4;01;00;00; 2;60; 6; 4; 2;01;1;065;01
2018;862;0;3;03;01;02; 6;37; 1; 4; 1;02;3;090;03
2018;863;0;4;02;00;00; 4;67; 1; 2; 2;03;1;112;05
2018;864;0;5;02;00;00; 4;70; 1; 1; 2;03;1;125;05
2018;865;0;5;02;00;01; 5;64; 1; 2; 2;03;1;090;05
2018;866;0;5;04;02;02; 7;36; 1; 2; 1;02;2;095;04
2018;867;0;5;02;01;01; 9;46; 6; 4; 1;02;2;125;02
2018;868;0;1;02;00;00;10;72; 6; 4; 2;02;1;200;02
2018;869;0;3;04;02;01; 7;37; 1; 3; 1;02;3;072;02
2018;870;1;1;03;00;02;10;56; 1; 2; 1;04;1;100;05
2018;871;0;3;01;00;00; 2;63; 6; 3; 2;03;1;057;03
2018;872;0;2;01;00;00; 1;85; 6; 1; 2;02;1;160;02
2018;873;0;3;01;00;01; 2;57; 6; 3; 1;03;1;090;03
2018;874;1;1;04;02;02; 7;36; 1; 4; 1;05;3;100;07
2018;875;0;1;04;01;02; 7;40; 1; 4; 1;03;2;090;06
2018;876;0;1;03;01;02; 6;36; 1; 3; 1;04;2;068;04
2018;877;0;4;04;02;02; 7;39; 6; 4; 1;04;2;229;06
